geoid,name,B15003001 - Total:,"B15003001 - Total:, Error",B15003002 - No schooling completed,"B15003002 - No schooling completed, Error",B15003003 - Nursery school,"B15003003 - Nursery school, Error",B15003004 - Kindergarten,"B15003004 - Kindergarten, Error",B15003005 - 1st grade,"B15003005 - 1st grade, Error",B15003006 - 2nd grade,"B15003006 - 2nd grade, Error",B15003007 - 3rd grade,"B15003007 - 3rd grade, Error",B15003008 - 4th grade,"B15003008 - 4th grade, Error",B15003009 - 5th grade,"B15003009 - 5th grade, Error",B15003010 - 6th grade,"B15003010 - 6th grade, Error",B15003011 - 7th grade,"B15003011 - 7th grade, Error",B15003012 - 8th grade,"B15003012 - 8th grade, Error",B15003013 - 9th grade,"B15003013 - 9th grade, Error",B15003014 - 10th grade,"B15003014 - 10th grade, Error",B15003015 - 11th grade,"B15003015 - 11th grade, Error","B15003016 - 12th grade, no diploma","B15003016 - 12th grade, no diploma, Error",B15003017 - Regular high school diploma,"B15003017 - Regular high school diploma, Error",B15003018 - GED or alternative credential,"B15003018 - GED or alternative credential, Error","B15003019 - Some college, less than 1 year","B15003019 - Some college, less than 1 year, Error","B15003020 - Some college, 1 or more years, no degree","B15003020 - Some college, 1 or more years, no degree, Error",B15003021 - Associate's degree,"B15003021 - Associate's degree, Error",B15003022 - Bachelor's degree,"B15003022 - Bachelor's degree, Error",B15003023 - Master's degree,"B15003023 - Master's degree, Error",B15003024 - Professional school degree,"B15003024 - Professional school degree, Error",B15003025 - Doctorate degree,"B15003025 - Doctorate degree, Error"
05000US19155,"Pottawattamie County, IA",61779,128,499,118,0,23,0,23,0,23,38,46,155,109,30,34,32,31,290,137,69,59,1120,209,869,171,1153,188,1705,219,725,123,19378,610,3142,322,5225,381,9702,552,6431,479,8077,520,2497,268,405,92,237,73
05000US19157,"Poweshiek County, IA",12308,90,57,44,0,16,0,16,0,16,0,16,4,7,4,6,0,16,31,27,2,3,159,55,148,59,162,88,118,60,171,64,4233,321,617,185,875,167,1786,212,1163,186,1816,207,520,119,166,63,276,97
05000US19159,"Ringgold County, IA",3530,32,33,25,0,14,0,14,0,14,7,13,5,8,4,7,1,2,8,13,0,14,150,69,42,40,71,26,46,23,30,20,1204,120,132,45,262,63,475,75,378,65,458,78,201,69,18,13,5,14
05000US19161,"Sac County, IA",7404,17,29,19,0,16,0,16,0,16,0,16,0,16,0,16,4,7,24,17,3,4,160,42,84,31,131,47,177,50,100,31,2920,169,245,59,450,74,957,104,746,94,1031,113,263,56,43,21,37,28
05000US19163,"Scott County, IA",110061,104,582,164,0,23,29,31,40,36,61,47,95,60,23,21,156,82,481,135,77,36,1076,195,1342,269,1588,271,1709,221,1226,243,26397,860,3730,362,9720,615,15961,803,11868,753,22790,782,8415,524,2027,281,668,158
05000US19165,"Shelby County, IA",8551,72,117,57,0,16,0,16,0,16,0,16,1,2,0,16,0,16,11,17,18,20,285,93,77,42,88,40,83,47,102,39,3257,198,239,67,586,98,1159,155,1069,153,1116,155,238,74,85,41,20,20
05000US19167,"Sioux County, IA",20046,91,125,55,3,5,0,21,18,18,34,36,67,52,58,51,26,25,179,116,61,40,907,167,180,75,274,104,264,90,151,62,6216,301,704,126,1118,138,2734,279,2292,250,3180,317,971,179,209,75,275,91
05000US19169,"Story County, IA",47243,185,115,65,0,23,0,23,7,8,41,64,1,2,0,23,21,23,177,131,33,29,485,147,185,63,405,126,323,99,383,104,8187,518,757,165,2779,282,6581,567,4217,362,13410,656,5316,418,937,171,2883,385
05000US19171,"Tama County, IA",11992,54,89,39,0,16,0,16,0,16,0,16,13,17,63,40,15,11,33,25,58,36,234,68,138,48,228,74,258,68,161,63,4224,242,457,80,1146,146,1619,185,1407,171,1304,131,403,62,104,37,38,29
05000US19173,"Taylor County, IA",4467,21,6,6,0,14,2,3,0,14,0,14,0,14,16,19,0,14,21,17,9,10,105,36,54,32,65,25,118,45,54,21,1743,105,226,50,371,68,660,85,432,59,428,74,138,37,12,8,7,9
05000US19175,"Union County, IA",8494,41,74,42,0,16,0,16,7,17,0,16,0,16,4,5,0,16,3,5,16,22,73,41,145,86,140,69,258,99,109,57,2912,255,317,116,637,118,1448,203,928,166,1032,200,282,106,85,49,24,27
